ID,SchemaVersion,SourceName,SourceURL,Company,PublishedDate,IsRemote,RoleFamily,CollectedAt
1194,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/figma/director-smb-sales-london-united-kingdom-247937,figma,2026-09-11T18:31:39Z,0,Management,2026-09-11T18:31:39Z
1195,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/woltglobal2/software-engineer-backend-bi-platform-london-290051,Woltglobal2,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1197,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/semdor-pharma-group-gmbh/fullstack-developer-koln-120219,Semdor Pharma Group GmbH,2026-09-11T18:31:38Z,0,Engineering,2026-09-11T18:31:38Z
1198,1.0,Arbeitnow,https://www.arbeitnow.com/jobs/companies/trusteq-gmbh/ai-security-senior-consultant-munchen-190055,Trusteq Gmbh,2026-09-11T18:31:38Z,0,Engineering,2026-09-11T18:31:38Z
1199,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wayflyer/broker-account-manager-london-316247,Wayflyer,2026-09-11T18:31:39Z,0,Management,2026-09-11T18:31:39Z
1200,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/intelance/engagement-manager-london-399787,Intelance,2026-09-11T18:31:39Z,1,AI/ML,2026-09-11T18:31:39Z
1201,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/ankar/field-marketing-manager-london-63968,Ankar,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1202,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/intelance/senior-industry-adviser-uk-pensions-administration-london-166741,Intelance,2026-09-11T18:31:39Z,1,AI/ML,2026-09-11T18:31:39Z
1203,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/intelance/technology-cost-analyst-london-259766,Intelance,2026-09-11T18:31:39Z,1,AI/ML,2026-09-11T18:31:39Z
1204,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/mewssystems/staff-engineer-313291,mewssystems,2026-09-11T18:31:39Z,0,Product,2026-09-11T18:31:39Z
1205,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-senior-software-engineer-engineering-operations-22311,Camunda,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1206,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/synthesia/solutions-engineering-manager-london-247324,Synthesia,2026-09-11T18:31:39Z,0,Management,2026-09-11T18:31:39Z
1207,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/chainalysis/senior-platform-engineer-foundations-london-390027,Chainalysis,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1208,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/camunda/remote-senior-software-engineer-backend-data-layer-223436,Camunda,2026-09-11T18:31:39Z,0,AI/ML,2026-09-11T18:31:39Z
1209,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/omaze/marketing-lead-london-120610,Omaze,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1210,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/perk/senior-business-travel-consultant-perk-uki-english-speaker-edinburgh-88985,Perk,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1211,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/perk/senior-reporting-analyst-6-month-ftc-london-79317,Perk,2026-09-11T18:31:39Z,0,Data Science,2026-09-11T18:31:39Z
1212,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/intelance/principal-enterprise-architect-financial-services-london-473320,Intelance,2026-09-11T18:31:39Z,1,AI/ML,2026-09-11T18:31:39Z
1213,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/elevenlabs/full-stack-engineer-creative-studio-united-kingdom-73069,Elevenlabs,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1214,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/elevenlabs/design-engineer-creative-studio-united-kingdom-392794,Elevenlabs,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1215,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/redwoodsoftware/strategic-alliances-director-492077,Redwoodsoftware,2026-09-11T18:31:40Z,0,Product,2026-09-11T18:31:40Z
1216,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/senior-specialist-account-management-london-360708,Checkout.com,2026-09-11T18:31:39Z,0,Engineering,2026-09-11T18:31:39Z
1217,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/ogilvy/senior-consultant-london-264153,Ogilvy,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1218,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bitwarden/enterprise-account-executive-germany-emea-215161,Bitwarden,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1219,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/angi/senior-salesforce-developer-temporary-london-357731,Angi,2026-09-11T18:31:40Z,0,Product,2026-09-11T18:31:40Z
1220,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/coreview/data-engineer-uk-239308,Coreview,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1221,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kraken/principal-business-operations-pro-london-17939,Kraken,2026-09-11T18:31:40Z,0,Engineering,2026-09-11T18:31:40Z
1222,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/tether-operations-limited/backend-engineer-wallets-100-remote-london-355455,Tether Operations Limited,2026-09-11T18:31:39Z,1,Engineering,2026-09-11T18:31:39Z
1223,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/aios-yc-w20s21/marshal-blackburn-178518,AIOS (YC W20/S21),2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
1224,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kpler/senior-product-manager-fisheries-iuuf-london-450004,Kpler,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1225,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/kpler/senior-product-manager-marine-insurance-london-177533,Kpler,2026-09-11T18:31:40Z,0,Data Science,2026-09-11T18:31:40Z
1226,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/spotify/senior-backend-engineer-commerce-platform-london-257162,Spotify,2026-09-11T18:31:40Z,0,Product,2026-09-11T18:31:40Z
1227,1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/quantum-motion-technologies-personio/senior-electrical-characterisation-engineer-london-uk-391854,Quantum Motion Technologies - Personio,2026-09-11T18:31:40Z,0,Management,2026-09-11T18:31:40Z
